"","RIVSEG","NA"
"1","YP1_6570_6680",1
"2","YP1_6680_6670",1
"3","YP2_6390_6330",1
"4","YP3_6330_6700",1
"5","YP3_6470_6690",1
"6","YP3_6670_6720",2
"7","YP3_6690_6720",1
"8","YP3_6700_6670",1
"9","YP4_6720_6750",3
"10","YP4_6750_0001",3
