"","RIVSEG","NA"
"1","XU0_4090_4270",1
"2","XU0_4091_4270",1
"3","XU0_4130_4070",1
"4","XU2_4070_4330",1
"5","XU2_4270_4650",2
"6","XU2_4330_4480",1
"7","XU2_4480_4650",1
"8","XU3_4650_0001",3
