"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",723,108,189,271,320,423,431,543,351,176,85,80.1,50.1,927,912,1240,1040,878,605,372,282,533,421,699,790,5.1,23,5.63,25,6.11,26.1,14.6,46.8,31.2,128,8.86,2002,13,34,433,2140,5400,18,365,680,2490,2270,2420,1420,3500,1940,2230,1560,901,447,851,28200,11100,14500,6940,8240,4440,4020,2080,2890,1290,195.259808219178
"Model",681,90.7,117,286,335,439,366,297,179,146,71.7,68.4,36.1,916,1060,1220,868,697,411,310,285,593,403,647,783,11.4,28.1,11.9,30.4,13.2,34.9,25.9,66.7,49.9,209,16.5,1999,22.3,45.3,381,2070,5800,36.3,322,732,2530,2230,2060,2000,3570,2130,1570,837,550,277,518,31500,8910,14300,5590,10700,3000,4010,1660,2800,1090,189.04309873134
"Pct. Error",-5.81,-16,-38.1,5.54,4.69,3.78,-15.1,-45.3,-49,-17,-15.6,-14.6,-27.9,-1.19,16.2,-1.61,-16.5,-20.6,-32.1,-16.7,1.06,11.3,-4.28,-7.44,-0.886,124,22.2,111,21.6,116,33.7,77.4,42.5,59.9,63.3,86.2,100,71.5,33.2,-12,-3.27,7.41,102,-11.8,7.65,1.61,-1.76,-14.9,40.8,2,9.79,-29.6,-46.3,-39,-38,-39.1,11.7,-19.7,-1.38,-19.5,29.9,-32.4,-0.249,-20.2,-3.11,-15.5,-3.18
