"","Model"
"Overall Mean Flow",2100
"Jan. Mean Flow",2430
"Feb. Mean Flow",2840
"Mar. Mean Flow",3860
"Apr. Mean Flow",3210
"May Mean Flow",2200
"Jun. Mean Flow",1910
"Jul. Mean Flow",1220
"Aug. Mean Flow",1280
"Sep. Mean Flow",1640
"Oct. Mean Flow",1430
"Nov. Mean Flow",1450
"Dec. Mean Flow",1790
