"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",6,0.322,-94.6
"Med. 1 Day Min",15.5,6.65,-57.1
"Min. 3 Day Min",6.67,0.364,-94.5
"Med. 3 Day Min",16.2,7.1,-56.2
"Min. 7 Day Min",8.21,0.564,-93.1
"Med. 7 Day Min",17.6,8.4,-52.3
"Min. 30 Day Min",11.7,5.4,-53.8
"Med. 30 Day Min",23.5,20.7,-11.9
"Min. 90 Day Min",30.8,20.8,-32.5
"Med. 90 Day Min",62.4,55.1,-11.7
"7Q10",8.57,1.76,-79.5
"Year of 90-Day Low Flow",1986,1986,0
"Drought Year Mean",191.361643835616,165.961678889091,-13.3
"Mean Baseflow",85.1,90.4,6.23
