"","USGS Gage","Model","Pct. Error"
"Jan. Low Flow",75,67.7,-9.73
"Feb. Low Flow",88.1,76,-13.7
"Mar. Low Flow",90.9,94.2,3.63
"Apr. Low Flow",106,117,10.4
"May Low Flow",133,161,21.1
"Jun. Low Flow",131,162,23.7
"Jul. Low Flow",134,129,-3.73
"Aug. Low Flow",120,98.2,-18.2
"Sep. Low Flow",108,78.6,-27.2
"Oct. Low Flow",97.1,65.3,-32.7
"Nov. Low Flow",84,56.1,-33.2
"Dec. Low Flow",76,62.7,-17.5
