"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0,NA
"Med. 1 Day Min",0.52,0.467,-10.2
"Min. 3 Day Min",6.85e-16,0.0105,1.53e+15
"Med. 3 Day Min",0.537,0.508,-5.4
"Min. 7 Day Min",-6.18e-15,0.0696,-1.13e+15
"Med. 7 Day Min",0.733,0.626,-14.6
"Min. 30 Day Min",1.09,0.877,-19.5
"Med. 30 Day Min",3.59,2.78,-22.6
"Min. 90 Day Min",5.15,5.09,-1.17
"Med. 90 Day Min",12.3,11.5,-6.5
"7Q10",0.000268,0.163,60700
"Year of 90-Day Low Flow",1986,1999,100
"Drought Year Mean",15.933397260274,17.8199404830707,11.8
"Mean Baseflow",6.84,6.87,0.439
