"Date","FlowMGD"
2000-03-07,4.31
2000-05-01,67.59
2000-05-08,5.36
2000-06-18,2.61
2000-07-22,23.01
2001-08-06,5.69
2001-09-27,1.41
2001-12-06,2.89
2001-12-23,3.31
2002-01-11,1.06
2002-01-19,5.83
2002-03-16,3.93
2002-10-29,14.98
2003-03-07,67.93
2003-03-10,42.19
2003-04-04,23.79
2003-11-11,15.67
2003-12-21,74.74
2004-08-17,8.18
2004-09-08,8.34
2004-09-13,15.93
2004-11-19,49.42
2005-02-24,19.5
2005-05-08,10.16
2005-09-10,11.64
2006-02-01,59.57
2006-02-09,17.55
2006-03-20,16.07
2006-06-11,4.98
2007-01-06,44.17
2007-04-11,10.65
2007-09-17,1.27
2008-01-18,44.28
2008-05-24,36.71
2008-06-12,12.89
2008-08-15,6.38
2008-08-29,36.29
2008-09-03,2.47
2009-01-29,54.15
2009-03-26,20.58
2009-06-12,149.23
2009-10-22,8.76
2010-03-03,16.19
2010-03-31,48.12
2010-04-06,32.61
2010-05-13,19.13
2010-06-04,13.65
2010-09-08,13.93
2010-10-18,29.7
2010-11-03,9.99
2011-05-13,28.21
2011-06-02,7.02
2011-09-20,5.75
2012-02-08,43.74
2012-04-24,4.9
2012-09-19,69.57
2012-11-13,12.01
2012-12-19,1.75
2013-01-13,14.02
2013-02-26,65.42
2013-08-07,2.52
2013-09-07,7.2
2013-12-14,14.34
2014-03-23,13.23
2014-05-30,12.29
2014-08-14,2.15
2014-09-16,14.19
2017-03-04,8.61
2017-04-28,43.65
2017-06-27,5.19
2017-07-13,4
2017-09-30,6.45
2017-11-13,29.84
2018-03-14,15.25
2018-04-29,13.88
2018-10-14,13.52
2018-11-05,83.98
2018-12-09,26.99
2019-06-12,18.28
2019-06-15,83.24
2019-06-29,9.01
2019-09-28,2.75
2019-10-10,12.36
2019-11-08,29.42
2020-01-21,26.65
2020-02-23,11.65
2020-02-24,71.79
2020-04-04,16.32
2020-05-23,20.8
2020-09-27,146.7
2020-10-09,12.99
2020-10-16,46.2
2020-10-19,31.73
2020-12-09,28.09
2021-04-08,70.94
2022-01-16,39.53
2022-02-19,13.82
