"measType","07-Mar-00","01-May-00","08-May-00","18-Jun-00","22-Jul-00","06-Aug-01","27-Sep-01","06-Dec-01","23-Dec-01","11-Jan-02","19-Jan-02","16-Mar-02","29-Oct-02","07-Mar-03","10-Mar-03","04-Apr-03","11-Nov-03","21-Dec-03","17-Aug-04","08-Sep-04","13-Sep-04","19-Nov-04","24-Feb-05","08-May-05","10-Sep-05","01-Feb-06","09-Feb-06","20-Mar-06","11-Jun-06","06-Jan-07","11-Apr-07","17-Sep-07","18-Jan-08","24-May-08","12-Jun-08","15-Aug-08","29-Aug-08","03-Sep-08","29-Jan-09","26-Mar-09","12-Jun-09","22-Oct-09","03-Mar-10","31-Mar-10","06-Apr-10","13-May-10","04-Jun-10","08-Sep-10","18-Oct-10","03-Nov-10","13-May-11","02-Jun-11","20-Sep-11","08-Feb-12","24-Apr-12","19-Sep-12","13-Nov-12","19-Dec-12","13-Jan-13","26-Feb-13","07-Aug-13","07-Sep-13","14-Dec-13","23-Mar-14","30-May-14","14-Aug-14","16-Sep-14","04-Mar-17","28-Apr-17","27-Jun-17","13-Jul-17","30-Sep-17","13-Nov-17","14-Mar-18","29-Apr-18","14-Oct-18","05-Nov-18","09-Dec-18","12-Jun-19","15-Jun-19","29-Jun-19","28-Sep-19","10-Oct-19","08-Nov-19","21-Jan-20","23-Feb-20","24-Feb-20","04-Apr-20","23-May-20","27-Sep-20","09-Oct-20","16-Oct-20","19-Oct-20","09-Dec-20","08-Apr-21","16-Jan-22","19-Feb-22"
"Flow",1.2,1.5,0.95,1.3,0.74,0.72,0.81,0.89,0.97,0.86,0.79,1.3,0.73,1.1,0.81,1.1,1.1,1,1.1,1.1,1.1,1.3,0.86,0.96,1.1,1.4,1.9,1.1,0.85,0.84,0.93,0.85,1.1,1.1,1.1,1.3,0.8,1.7,0.89,1.1,1.7,1.4,0.87,1.3,0.64,0.93,1,0.7,0.86,0.75,0.8,1,1.4,0.92,1.2,1,1,1,1.3,1.3,1.2,1.6,0.67,0.93,1.2,0.73,1.1,1.4,0.85,1.2,1.1,1.2,0.85,0.94,1.3,0.88,1,1.7,0.87,0.69,0.82,1.1,0.82,0.78,1.5,1.1,1.3,1,1.1,1.9,0.99,1.5,0.75,0.93,0.96,0.82,0.83
"Hardness",86,80,60,45,60,86,102,68,76,97,88,91,92,64,57,78,115,86,64,61,99,99,80,63,98,97,38,73,50,106,86,93,76,80,63,87,83,94,75,103,111,84,48,96,74,104,76,118,88,90,83,58,89,108,90,108,95,136,94,55,62,80,50,117,67,60,114,89,65,76,60,65,115,113,74,49,83,74,99,79,74,76,108,80,65,60,33,73,115,73,67,55,71,84,112,50,53
"pH",7.17,6.88,7.13,6.82,6.8,7.16,6.77,6.93,6.95,6.94,6.82,7.17,7.19,7.26,7.03,7.01,7.1,7.28,7.13,6.85,7.3,6.73,6.65,6.88,7.21,6.38,7.07,6.77,7.13,7.27,7.04,6.83,7.17,6.95,6.72,6.61,6.99,7.09,6.79,6.58,7.11,6.8,7,6.7,7.03,6.46,7.12,6.92,6.79,7.37,7.32,6.61,7.09,7.32,7,6.77,6.82,7.23,6.9,6.56,7.1,7.55,6.7,6.87,7.3,7.07,7.16,6.9,6.94,7.3,6.95,7.04,7.22,6.8,7.64,7.06,7.05,6.63,6.81,6.96,7.19,7.22,7.14,7.37,6.78,7.1,7.38,7.35,6.99,7.28,7.25,7.25,7.33,6.71,6.88,6.9,6.96
