"","Model"
"Min. 1 Day Min",55
"Med. 1 Day Min",55
"Min. 3 Day Min",55
"Med. 3 Day Min",55
"Min. 7 Day Min",55
"Med. 7 Day Min",55
"Min. 30 Day Min",55
"Med. 30 Day Min",55
"Min. 90 Day Min",55
"Med. 90 Day Min",70.4
"7Q10",55.6
"Year of 90-Day Low Flow",1985
"Drought Year Mean",180.715802458873
"Mean Baseflow",136
