"","Model"
"Jan. Low Flow",265
"Feb. Low Flow",356
"Mar. Low Flow",562
"Apr. Low Flow",659
"May Low Flow",997
"Jun. Low Flow",1010
"Jul. Low Flow",851
"Aug. Low Flow",724
"Sep. Low Flow",549
"Oct. Low Flow",444
"Nov. Low Flow",383
"Dec. Low Flow",287
