"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",3.4,1.04,-69.4
"Med. 1 Day Min",7.67,3.85,-49.8
"Min. 3 Day Min",3.57,1.05,-70.6
"Med. 3 Day Min",7.84,4.08,-48
"Min. 7 Day Min",4,1.05,-73.8
"Med. 7 Day Min",8.93,4.59,-48.6
"Min. 30 Day Min",5.07,1.2,-76.3
"Med. 30 Day Min",11.1,7.32,-34.1
"Min. 90 Day Min",7.51,2.77,-63.1
"Med. 90 Day Min",19.8,17.3,-12.6
"7Q10",5.62,1.59,-71.7
"Year of 90-Day Low Flow",1999,1999,0
"Drought Year Mean",34.721095890411,40.5860523162078,16.9
"Mean Baseflow",45.5,49.3,8.35
