"","USGS Gage","Model","Pct. Error"
"Max. 1 Day Max",7400,8150,10.1
"Med. 1 Day Max",2060,2050,-0.485
"Max. 3 Day Max",3640,3010,-17.3
"Med. 3 Day Max",1170,978,-16.4
"Max. 7 Day Max",1710,1450,-15.2
"Med. 7 Day Max",663,590,-11
"Max. 30 Day Max",795,657,-17.4
"Med. 30 Day Max",344,258,-25
"Max. 90 Day Max",446,424,-4.93
"Med. 90 Day Max",200,163,-18.5
