"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",1880,610,754,943,781,1300,1540,1540,1400,1110,857,685,587,2210,2490,2810,2620,2100,1860,1390,1250,1340,1200,1640,1710,283,486,298,505,317,524,398,654,524,1000,362,1988,397,532,1390,4540,9300,510,1210,1440,4140,3850,4740,6070,8060,5500,3890,2430,2320,2200,1930,57800,18300,31000,11900,17100,7810,6560,4050,4750,3150,1034.29781420765
"Model",1930,543,652,1060,1040,1410,1740,1420,1150,1030,777,689,612,2330,2800,3200,2650,1950,1750,1260,1330,1400,1320,1620,1640,198,451,203,459,211,485,262,620,519,838,286,1988,357,502,1350,4910,10900,554,1290,1250,2620,2700,5720,5230,7760,5210,4350,2320,1830,1400,1500,47600,18700,32800,15600,18200,10100,7040,4660,5940,3280,916.724575840892
"Pct. Error",2.66,-11,-13.5,12.4,33.2,8.46,13,-7.79,-17.9,-7.21,-9.33,0.584,4.26,5.43,12.4,13.9,1.15,-7.14,-5.91,-9.35,6.4,4.48,10,-1.22,-4.09,-30,-7.2,-31.9,-9.11,-33.4,-7.44,-34.2,-5.2,-0.954,-16.2,-21,0,-10.1,-5.64,-2.88,8.15,17.2,8.63,6.61,-13.2,-36.7,-29.9,20.7,-13.8,-3.72,-5.27,11.8,-4.53,-21.1,-36.4,-22.3,-17.6,2.19,5.81,31.1,6.43,29.3,7.32,15.1,25.1,4.13,-11.4
