"","Model"
"Overall Mean Flow",1280
"Jan. Mean Flow",1860
"Feb. Mean Flow",2650
"Mar. Mean Flow",2400
"Apr. Mean Flow",1790
"May Mean Flow",1270
"Jun. Mean Flow",893
"Jul. Mean Flow",611
"Aug. Mean Flow",572
"Sep. Mean Flow",515
"Oct. Mean Flow",572
"Nov. Mean Flow",867
"Dec. Mean Flow",1420
