"","Model"
"Overall Mean Flow",4270
"Jan. Mean Flow",4830
"Feb. Mean Flow",5680
"Mar. Mean Flow",6390
"Apr. Mean Flow",5130
"May Mean Flow",3660
"Jun. Mean Flow",4200
"Jul. Mean Flow",4460
"Aug. Mean Flow",3770
"Sep. Mean Flow",3070
"Oct. Mean Flow",3120
"Nov. Mean Flow",3260
"Dec. Mean Flow",3680
