"","Model"
"1% Non-Exceedance",0.3
"5% Non-Exceedance",2.49
"50% Non-Exceedance",59.7
"95% Non-Exceedance",305
"99% Non-Exceedance",556
"Sept. 10% Non-Exceedance",2.17
