"","Model"
"Jan. Low Flow",46.5
"Feb. Low Flow",158
"Mar. Low Flow",221
"Apr. Low Flow",340
"May Low Flow",589
"Jun. Low Flow",448
"Jul. Low Flow",325
"Aug. Low Flow",153
"Sep. Low Flow",106
"Oct. Low Flow",53.9
"Nov. Low Flow",62.2
"Dec. Low Flow",49.5
