"","Model"
"Jan. Low Flow",22
"Feb. Low Flow",45.8
"Mar. Low Flow",72.1
"Apr. Low Flow",85
"May Low Flow",102
"Jun. Low Flow",93.7
"Jul. Low Flow",62
"Aug. Low Flow",45.5
"Sep. Low Flow",35.6
"Oct. Low Flow",21.3
"Nov. Low Flow",19
"Dec. Low Flow",20.5
