"","Model"
"1% Non-Exceedance",0.703
"5% Non-Exceedance",7.71
"50% Non-Exceedance",245
"95% Non-Exceedance",1120
"99% Non-Exceedance",2850
"Sept. 10% Non-Exceedance",2.36
