"","Model"
"Overall Mean Flow",380
"Jan. Mean Flow",523
"Feb. Mean Flow",714
"Mar. Mean Flow",664
"Apr. Mean Flow",555
"May Mean Flow",465
"Jun. Mean Flow",283
"Jul. Mean Flow",192
"Aug. Mean Flow",172
"Sep. Mean Flow",136
"Oct. Mean Flow",185
"Nov. Mean Flow",271
"Dec. Mean Flow",423
