"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",1120,269,327,448,520,570,747,682,541,414,312,291,263,1420,1480,1880,1610,1280,926,575,551,1020,628,1060,1020,84.1,234,85.6,236,89.6,242,105,277,136,395,156,2002,144,204,642,3430,7520,207,611,691,2870,2680,3090,2130,5470,3180,2730,1200,1280,654,531,63500,9850,41700,7480,22500,5520,7100,2980,5030,1930,306.225205479452
"Model",1190,183,349,552,651,798,830,733,660,463,306,268,191,1370,1740,2040,1630,1270,992,732,589,1120,736,1120,1040,50.8,141,51.8,147,54.2,157,71.1,215,142,445,73.7,1999,74.8,147,773,3510,8140,141,691,1120,2170,2050,3240,1770,4830,3490,1960,1850,1630,1020,755,55500,11600,35800,8820,20000,6800,6430,3220,4700,1930,334.540657037329
"Pct. Error",6.25,-32,6.73,23.2,25.2,40,11.1,7.48,22,11.8,-1.92,-7.9,-27.4,-3.52,17.6,8.51,1.24,-0.781,7.13,27.3,6.9,9.8,17.2,5.66,1.96,-39.6,-39.7,-39.5,-37.7,-39.5,-35.1,-32.3,-22.4,4.41,12.7,-52.8,100,-48.1,-27.9,20.4,2.33,8.24,-31.9,13.1,62.1,-24.4,-23.5,4.85,-16.9,-11.7,9.75,-28.2,54.2,27.3,56,42.2,-12.6,17.8,-14.1,17.9,-11.1,23.2,-9.44,8.05,-6.56,0,9.25
