"","Overall.Mean.Flow","Jan..Low.Flow","Feb..Low.Flow","Mar..Low.Flow","Apr..Low.Flow","May.Low.Flow","Jun..Low.Flow","Jul..Low.Flow","Aug..Low.Flow","Sep..Low.Flow","Oct..Low.Flow","Nov..Low.Flow","Dec..Low.Flow","Jan..Mean.Flow","Feb..Mean.Flow","Mar..Mean.Flow","Apr..Mean.Flow","May.Mean.Flow","Jun..Mean.Flow","Jul..Mean.Flow","Aug..Mean.Flow","Sep..Mean.Flow","Oct..Mean.Flow","Nov..Mean.Flow","Dec..Mean.Flow","Min..1.Day.Min","Med..1.Day.Min.","Min..3.Day.Min","Med..3.Day.Min.","Min..7.Day.Min","Med..7.Day.Min.","Min..30.Day.Min","Med..30.Day.Min.","Min..90.Day.Min","Med..90.Day.Min.","X7Q10","Year.of.90.Day.Low.Flow","X1..Non.Exceedance","X5..Non.Exceedance","X50..Non.Exceedance","X95..Non.Exceedance","X99..Non.Exceedance","Sept..10..Non.Exceedance","Mean.Baseflow","Jan..High.Flow","Feb..High.Flow","Mar..High.Flow","Apr..High.Flow","May.High.Flow","Jun..High.Flow","Jul..High.Flow","Aug..High.Flow","Sep..High.Flow","Oct..High.Flow","Nov..High.Flow","Dec..High.Flow","Max..1.Day.Max","Med..1.Day.Max.","Max..3.Day.Max","Med..3.Day.Max.","Max..7.Day.Max","Med..7.Day.Max.","Max..30.Day.Max","Med..30.Day.Max.","Max..90.Day.Max","Med..90.Day.Max.","Drought.Year.Mean"
"OR5_7980_8200",154,18.4,31.4,60.8,80.2,125,119,90.7,55.3,39.8,24.1,22.6,18.4,196,244,304,215,160,109,65.3,60.2,130,87.7,136,143,2.87,12.4,2.99,13,3.26,13.4,4.28,16.6,13.9,35.5,4.66,1986,5.95,13.8,86,458,1230,13,82.2,83.7,445,338,556,480,1290,604,257,128,98.6,70.4,81.7,7750,2240,4200,1310,2700,717,905,422,662,279,154
"OR2_8020_8130",258,47.7,46.2,92,123,218,227,199,161,123,74.7,55.8,43.2,320,397,462,404,307,257,158,124,164,122,189,200,9.61,28.8,9.66,29.6,9.87,31.4,12.3,42.7,34.8,73.3,16.6,2002,22.3,34.8,156,723,1920,32.2,155,176,491,286,1290,703,1900,850,755,477,244,158,176,9990,3620,4590,2350,2410,1430,1340,690,891,463,258
"OR2_8070_8120",265,49.4,58,88.1,159,196,201,147,114,97,62.5,52.1,44.7,335,393,454,397,278,244,144,124,207,178,203,235,4.47,29.3,4.64,30.1,5.03,31.9,8.92,48.7,21.4,77,11.7,2002,13.9,28.1,159,724,2020,28.6,154,159,587,569,665,684,1130,781,423,271,186,181,164,12600,3790,6630,2490,3530,1410,1680,695,1080,474,265
"OR4_8120_7890",1920,456,511,912,1100,1610,1520,973,786,746,528,496,473,2410,2880,3470,2900,1990,1690,1060,921,1520,1170,1470,1680,84.5,277,85.1,287,86.3,312,99,364,144,567,107,2002,115,284,1070,5590,14300,306,1110,708,2930,3090,5610,4610,9680,7210,3980,2130,1480,925,769,82600,26000,40800,19500,22200,11200,11400,4840,7140,3480,1920
"OR2_8130_7900",272,42.1,51.9,108,139,235,219,175,159,124,68.8,57.8,47,347,428,485,415,316,261,162,126,178,132,209,219,0,29.6,-2.74e-14,29.9,7.61e-16,31.5,0.147,45.3,10.6,75.4,0.353,2002,0,24.1,158,797,2060,24.7,156,173,515,293,1350,776,1930,819,794,552,262,174,186,11600,3930,5110,2560,2700,1570,1510,767,985,491,272
"OR5_8200_8370",3100,613,722,1380,1890,2590,2800,1740,1300,1100,738,688,657,3870,4720,5650,4690,3210,2620,1610,1410,2440,1980,2360,2770,109,389,110,405,113,423,145,616,272,848,170,2002,177,397,1830,9560,20900,413,1830,1360,3520,4370,8710,6450,13300,11900,5290,3570,1980,1440,1220,74600,35200,61900,23000,36600,16600,16300,8090,12000,5750,3100
"OR4_8271_8120",1600,412,449,782,918,1340,1190,801,648,631,451,432,412,2000,2390,2890,2390,1650,1400,884,775,1270,950,1230,1390,84.7,254,85.7,260,87,280,90.8,326,121,468,102,2002,98.9,251,875,4610,12500,273,914,567,2910,2460,5010,4520,9630,6320,3060,1960,1270,695,626,72000,23900,34900,16200,18000,10100,9440,4020,5780,2860,1600
"TU3_8480_8680",305,34.4,73,111,153,187,249,170,95.9,70.8,37.1,41.8,25.8,435,610,568,410,313,221,150,141,136,148,213,329,0.916,8.56,1.25,10.1,1.93,10.8,8.6,26.2,20.3,83.1,3.84,1988,8.95,24.7,179,930,2290,15.8,153,195,408,587,1880,1490,1790,786,856,432,209,227,193,8200,3630,5550,2430,2980,1580,1760,771,1140,584,305
"TU1_8570_8680",174,21.4,46.8,61.9,86.8,107,144,91.8,59.4,40.3,23.2,29.7,18.4,251,346,319,230,176,128,87.9,83.1,81,85.4,120,187,0.841,6.22,0.936,6.65,1.24,7.78,4.85,16.3,14.8,43.9,2.92,1988,6.1,15.2,104,532,1240,10.3,89.5,101,212,323,1050,887,1080,437,460,269,116,136,98.2,4090,1990,2890,1320,1600,884,952,439,628,337,174
"TU3_8650_8800",290,36,75.9,94.1,148,213,242,172,117,65.7,37.3,46.5,37.1,409,561,545,401,292,223,144,137,138,149,201,296,5.07,16.3,5.41,18,6.17,20.4,14.2,36.6,31.7,76.2,8.61,1988,13.2,27.2,181,850,1970,21.2,160,128,359,435,1330,1320,1630,848,633,435,197,211,155,5950,3130,4550,2160,2470,1370,1590,729,1030,574,290
