"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",5.1,11.4,124
"Med. 1 Day Min",23,28.1,22.2
"Min. 3 Day Min",5.63,11.9,111
"Med. 3 Day Min",25,30.4,21.6
"Min. 7 Day Min",6.11,13.2,116
"Med. 7 Day Min",26.1,34.9,33.7
"Min. 30 Day Min",14.6,25.9,77.4
"Med. 30 Day Min",46.8,66.7,42.5
"Min. 90 Day Min",31.2,49.9,59.9
"Med. 90 Day Min",128,209,63.3
"7Q10",8.86,16.5,86.2
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",195.259808219178,189.04309873134,-3.18
"Mean Baseflow",365,322,-11.8
