"","USGS Gage","Model","Pct. Error"
"1% Non-Exceedance",83.8,45.5,45.7
"5% Non-Exceedance",130,72.5,44.2
"50% Non-Exceedance",378,290,23.3
"95% Non-Exceedance",1360,1250,8.09
"99% Non-Exceedance",2620,2460,6.11
"Sept. 10% Non-Exceedance",146,80.2,45.1
