"","Model"
"Min. 1 Day Min",57.3
"Med. 1 Day Min",81.6
"Min. 3 Day Min",63.5
"Med. 3 Day Min",92.7
"Min. 7 Day Min",77.8
"Med. 7 Day Min",129
"Min. 30 Day Min",96
"Med. 30 Day Min",151
"Min. 90 Day Min",121
"Med. 90 Day Min",211
"7Q10",88.2
"Year of 90-Day Low Flow",1986
"Drought Year Mean",424.745473760109
"Mean Baseflow",308
