"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",35,6.54,-81.3
"Med. 1 Day Min",100,44.8,-55.2
"Min. 3 Day Min",40.7,6.65,-83.7
"Med. 3 Day Min",104,46.6,-55.2
"Min. 7 Day Min",44.9,7,-84.4
"Med. 7 Day Min",108,51.6,-52.2
"Min. 30 Day Min",55.1,13.9,-74.8
"Med. 30 Day Min",122,75.7,-38
"Min. 90 Day Min",72.9,32.2,-55.8
"Med. 90 Day Min",171,148,-13.5
"7Q10",59.7,11.5,-80.7
"Year of 90-Day Low Flow",1999,1999,0
"Drought Year Mean",242.115068493151,273.028824630239,12.8
"Mean Baseflow",334,395,18.3
