"","USGS Gage","Model","Pct. Error"
"Jan. High Flow",110,201,82.7
"Feb. High Flow",266,426,60.2
"Mar. High Flow",546,470,-13.9
"Apr. High Flow",672,893,32.9
"May High Flow",899,892,-0.779
"Jun. High Flow",960,982,2.29
"Jul. High Flow",1040,988,-5
"Aug. High Flow",549,490,-10.7
"Sep. High Flow",344,223,-35.2
"Oct. High Flow",337,149,-55.8
"Nov. High Flow",331,301,-9.06
"Dec. High Flow",110,243,121
