"","Model"
"Overall Mean Flow",1920
"Jan. Mean Flow",2410
"Feb. Mean Flow",2880
"Mar. Mean Flow",3470
"Apr. Mean Flow",2900
"May Mean Flow",1990
"Jun. Mean Flow",1690
"Jul. Mean Flow",1060
"Aug. Mean Flow",921
"Sep. Mean Flow",1520
"Oct. Mean Flow",1170
"Nov. Mean Flow",1470
"Dec. Mean Flow",1680
