"","Model"
"Min. 1 Day Min",84.5
"Med. 1 Day Min",277
"Min. 3 Day Min",85.1
"Med. 3 Day Min",287
"Min. 7 Day Min",86.3
"Med. 7 Day Min",312
"Min. 30 Day Min",99
"Med. 30 Day Min",364
"Min. 90 Day Min",144
"Med. 90 Day Min",567
"7Q10",107
"Year of 90-Day Low Flow",2002
"Drought Year Mean",434.529174877538
"Mean Baseflow",1110
