"","Model"
"Min. 1 Day Min",3.89
"Med. 1 Day Min",17.9
"Min. 3 Day Min",4.03
"Med. 3 Day Min",18.7
"Min. 7 Day Min",4.53
"Med. 7 Day Min",21.4
"Min. 30 Day Min",10.5
"Med. 30 Day Min",27.4
"Min. 90 Day Min",35.2
"Med. 90 Day Min",53.9
"7Q10",7.06
"Year of 90-Day Low Flow",1988
"Drought Year Mean",84.558539435951
"Mean Baseflow",94
