"","Model"
"Overall Mean Flow",399
"Jan. Mean Flow",559
"Feb. Mean Flow",806
"Mar. Mean Flow",712
"Apr. Mean Flow",540
"May Mean Flow",429
"Jun. Mean Flow",281
"Jul. Mean Flow",184
"Aug. Mean Flow",174
"Sep. Mean Flow",156
"Oct. Mean Flow",207
"Nov. Mean Flow",300
"Dec. Mean Flow",469
