"","Model"
"Jan. Low Flow",14
"Feb. Low Flow",30.3
"Mar. Low Flow",46.5
"Apr. Low Flow",73.4
"May Low Flow",88.6
"Jun. Low Flow",77.2
"Jul. Low Flow",52.1
"Aug. Low Flow",31.9
"Sep. Low Flow",21
"Oct. Low Flow",17
"Nov. Low Flow",14.3
"Dec. Low Flow",10.6
