"","Model"
"1% Non-Exceedance",8.59
"5% Non-Exceedance",32.6
"50% Non-Exceedance",269
"95% Non-Exceedance",1590
"99% Non-Exceedance",4620
"Sept. 10% Non-Exceedance",32.7
