"","Model"
"1% Non-Exceedance",0.626
"5% Non-Exceedance",2.49
"50% Non-Exceedance",27.2
"95% Non-Exceedance",229
"99% Non-Exceedance",685
"Sept. 10% Non-Exceedance",2.52
