"","Model"
"Jan. Low Flow",22.5
"Feb. Low Flow",115
"Mar. Low Flow",148
"Apr. Low Flow",283
"May Low Flow",406
"Jun. Low Flow",322
"Jul. Low Flow",186
"Aug. Low Flow",122
"Sep. Low Flow",41.3
"Oct. Low Flow",24.1
"Nov. Low Flow",39.5
"Dec. Low Flow",24.7
