"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",1240,129,306,457,580,829,824,644,415,206,139,118,93,1690,2010,2370,1910,1260,761,506,537,889,477,1080,1390,18.3,71,18.6,74.3,18.9,82.2,25.8,96.4,32.9,287,38.9,2002,36.8,84,640,5030,9550,70,524,704,1760,2200,4090,4510,6300,5630,2700,1200,742,1120,280,21200,8750,18300,8390,15300,7250,7240,3670,5510,2170,254.584109589041
"Model",1190,164,209,281,565,904,810,507,324,240,183,191,164,1540,2110,2540,1770,1120,667,443,469,956,521,1010,1160,55.7,101,55.9,104,56,107,59,144,64.8,218,68.7,1999,66.8,88.9,556,4140,13200,87.5,576,419,2310,1650,4510,4050,6350,5510,2130,706,337,474,252,15100,13600,15100,10700,15100,6790,7480,3170,5580,2050,201.893438071912
"Pct. Error",-4.03,27.1,-31.7,-38.5,-2.59,9.05,-1.7,-21.3,-21.9,16.5,31.7,61.9,76.3,-8.88,4.98,7.17,-7.33,-11.1,-12.4,-12.5,-12.7,7.54,9.22,-6.48,-16.5,204,42.3,201,40,196,30.2,129,49.4,97,-24,76.6,100,81.5,5.83,-13.1,-17.7,38.2,25,9.92,-40.5,31.2,-25,10.3,-10.2,0.794,-2.13,-21.1,-41.2,-54.6,-57.7,-10,-28.8,55.4,-17.5,27.5,-1.31,-6.34,3.31,-13.6,1.27,-5.53,-20.7
