"","Model"
"Overall Mean Flow",61.4
"Jan. Mean Flow",80.5
"Feb. Mean Flow",115
"Mar. Mean Flow",110
"Apr. Mean Flow",86.6
"May Mean Flow",78.3
"Jun. Mean Flow",46.8
"Jul. Mean Flow",21.7
"Aug. Mean Flow",22.1
"Sep. Mean Flow",44.8
"Oct. Mean Flow",28.9
"Nov. Mean Flow",50.4
"Dec. Mean Flow",55.9
