"","Model"
"Overall Mean Flow",67.4
"Jan. Mean Flow",97.9
"Feb. Mean Flow",112
"Mar. Mean Flow",145
"Apr. Mean Flow",95.2
"May Mean Flow",49.6
"Jun. Mean Flow",29.3
"Jul. Mean Flow",26.9
"Aug. Mean Flow",42.9
"Sep. Mean Flow",68.4
"Oct. Mean Flow",32.6
"Nov. Mean Flow",48.8
"Dec. Mean Flow",63
