"","Model"
"Jan. Low Flow",3.25
"Feb. Low Flow",12.9
"Mar. Low Flow",18.5
"Apr. Low Flow",29.3
"May Low Flow",43.4
"Jun. Low Flow",30.3
"Jul. Low Flow",19.7
"Aug. Low Flow",9.82
"Sep. Low Flow",6.41
"Oct. Low Flow",3.97
"Nov. Low Flow",3.55
"Dec. Low Flow",2.98
