"","Model"
"Jan. Low Flow",136
"Feb. Low Flow",151
"Mar. Low Flow",216
"Apr. Low Flow",212
"May Low Flow",285
"Jun. Low Flow",336
"Jul. Low Flow",293
"Aug. Low Flow",250
"Sep. Low Flow",213
"Oct. Low Flow",183
"Nov. Low Flow",166
"Dec. Low Flow",138
