"","Model"
"Overall Mean Flow",409
"Jan. Mean Flow",487
"Feb. Mean Flow",552
"Mar. Mean Flow",617
"Apr. Mean Flow",543
"May Mean Flow",415
"Jun. Mean Flow",382
"Jul. Mean Flow",286
"Aug. Mean Flow",301
"Sep. Mean Flow",333
"Oct. Mean Flow",307
"Nov. Mean Flow",359
"Dec. Mean Flow",339
