"","Model"
"Min. 1 Day Min",5.08
"Med. 1 Day Min",16.4
"Min. 3 Day Min",5.3
"Med. 3 Day Min",17.1
"Min. 7 Day Min",5.76
"Med. 7 Day Min",18.4
"Min. 30 Day Min",9.06
"Med. 30 Day Min",26.7
"Min. 90 Day Min",25.1
"Med. 90 Day Min",43.3
"7Q10",8.69
"Year of 90-Day Low Flow",1988
"Drought Year Mean",51.697067588482
"Mean Baseflow",72.6
