"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",30,13.1,-56.3
"Med. 1 Day Min",63,27,-57.1
"Min. 3 Day Min",30.7,13.2,-57
"Med. 3 Day Min",64.3,28.3,-56
"Min. 7 Day Min",32.3,13.5,-58.2
"Med. 7 Day Min",66.9,30.6,-54.3
"Min. 30 Day Min",37.7,17.1,-54.6
"Med. 30 Day Min",78.8,52.5,-33.4
"Min. 90 Day Min",50.2,32.1,-36.1
"Med. 90 Day Min",110,120,9.09
"7Q10",39.9,16.6,-58.4
"Year of 90-Day Low Flow",1999,1999,0
"Drought Year Mean",145.27397260274,183.929508008626,26.6
"Mean Baseflow",206,206,0
