"","staid","name","seg","DAsqmi"
"1",1485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD","EL1_5430_0001",44.9
"2",1487000,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE","EL0_4562_0001",75.4
"3",1488500,"MARSHYHOPE CREEK NEAR ADAMSVILLE, DE","EL2_4400_4590",46.8
"4",1491000,"CHOPTANK RIVER NEAR GREENSBORO, MD","EM2_3980_0001",113
"5",1493000,"UNICORN BRANCH NEAR MILLINGTON, MD","EU0_3830_0001",19.7
"6",1495000,"BIG ELK CREEK AT ELK MILLS, MD","EU1_2650_0001",51.6
"7",1496500,"OAKS CREEK AT INDEX NY","SU2_0020_0140",102
"8",1500000,"OULEOUT CREEK AT EAST SIDNEY NY","SU2_0320_0340",103
"9",1500500,"SUSQUEHANNA RIVER AT UNADILLA NY","SU5_0340_0310",982
"10",1502000,"BUTTERNUT CREEK AT MORRIS NY","SU1_0080_0210",59.7
"11",1502500,"UNADILLA RIVER AT ROCKDALE NY","SU4_0300_0310",520
"12",1503000,"SUSQUEHANNA RIVER AT CONKLIN NY","SU6_0520_0500",2232
"13",1505000,"CHENANGO RIVER AT SHERBURNE NY","SU3_0090_0170",263
"14",1509000,"TIOUGHNIOGA RIVER AT CORTLAND NY","SU2_0120_0260",292
"15",1510000,"OTSELIC RIVER AT CINCINNATUS NY","SU2_0110_0240",147
"16",1512500,"CHENANGO RIVER NEAR CHENANGO FORKS NY","SU5_0420_0500",1483
"17",1515000,"SUSQUEHANNA RIVER NEAR WAVERLY NY","SU7_0720_0750",4773
"18",1516350,"TIOGA RIVER NEAR MANSFIELD, PA","SU2_0830_0831",153
"19",1518000,"TIOGA RIVER AT TIOGA, PA","SU3_0831_0790",282
"20",1518700,"TIOGA RIVER AT TIOGA JUNCTION, PA","SU3_0770_0690",446
"21",1518862,"COWANESQUE RIVER AT WESTFIELD, PA","SU2_0740_0741",90.6
"22",1520000,"COWANESQUE RIVER NR LAWRENCEVILLE, PA","SU2_0741_0690",298
"23",1520500,"TIOGA RIVER AT LINDLEY NY","SU4_0690_0650",771
"24",1524500,"CANISTEO R BELOW CANACADEA CR @ HORNELL NY","SU2_0570_0580",158
"25",1526500,"TIOGA RIVER NEAR ERWINS NY","SU5_0650_0530",1377
"26",1529500,"COHOCTON RIVER NEAR CAMPBELL NY","SU3_0370_0490",470
"27",1529950,"CHEMUNG RIVER AT CORNING NY","SU5_0530_0610",2006
"28",1531000,"CHEMUNG RIVER AT CHEMUNG NY","SU5_0600_0750",2506
"29",1531500,"SUSQUEHANNA RIVER AT TOWANDA, PA","SU7_0850_0730",7797
"30",1532000,"TOWANDA CREEK NEAR MONROETON, PA","SU3_0870_0730",215
"31",1533400,"SUSQUEHANNA RIVER AT MESHOPPEN, PA","SU7_0960_0950",8720
"32",1534000,"TUNKHANNOCK CREEK NEAR TUNKHANNOCK, PA","SU3_0910_1010",383
"33",1534300,"LACKAWANNA RIVER NEAR FOREST CITY, PA.","SU2_0670_0810",38.8
"34",1534500,"LACKAWANNA RIVER AT ARCHBALD, PA.","SU3_0970_1120",108
"35",1536000,"LACKAWANNA RIVER AT OLD FORGE, PA.","SU3_0970_1120",332
"36",1536500,"SUSQUEHANNA RIVER AT WILKES-BARRE, PA","SU7_1120_1140",9960
"37",1539000,"FISHING CREEK NEAR BLOOMSBURG, PA.","SU3_1280_1590",274
"38",1540500,"SUSQUEHANNA RIVER AT DANVILLE, PA","SU8_1530_1760",11220
"39",1541000,"WEST BRANCH SUSQUEHANNA RIVER AT BOWER, PA","SW4_1860_1720",315
"40",1541200,"WB SUSQUEHANNA RIVER NEAR CURWENSVILLE, PA","SW4_1720_1650",367
"41",1541303,"WEST BRANCH SUSQUEHANNA RIVER AT HYDE, PA","SW4_1720_1650",474
"42",1541500,"CLEARFIELD CREEK AT DIMELING, PA","SW3_1800_1650",371
"43",1542000,"MOSHANNON CREEK AT OSCEOLA MILLS, PA.","SW3_1750_1540",68.8
"44",1542500,"WB SUSQUEHANNA RIVER AT KARTHAUS, PA","SW5_1540_1400",1462
"45",1543000,"DRIFTWOOD BR SINNEMAHONING CR AT STERLING RUN, PA","SW3_1270_1370",272
"46",1543500,"SINNEMAHONING CREEK AT SINNEMAHONING, PA","SW4_1430_1490",685
"47",1544000,"F FORK SINNEMAHONING CR NR SINNEMAHONING, PA","SW3_1380_1490",245
"48",1544500,"KETTLE CREEK AT CROSS FORK, PA","SW2_1100_1130",136
"49",1545000,"KETTLE CREEK NEAR WESTPORT, PA","SW3_1390_1330",233
"50",1545500,"WEST BRANCH SUSQUEHANNA RIVER AT RENOVO, PA","SW6_1230_1440",2975
"51",1546400,"SPRING CREEK AT HOUSERVILLE, PA","SW1_1890_1830",58.5
"52",1546500,"SPRING CREEK NEAR AXEMANN, PA.","SW1_1830_1690",87.2
"53",1547100,"SPRING CREEK AT MILESBURG, PA","SW1_1830_1690",142
"54",1547200,"BALD EAGLE CREEK BL SPRING CREEK AT MILESBURG, PA","SW3_1690_1660",265
"55",1547500,"BALD EAGLE CREEK AT BLANCHARD, PA","SW3_1660_1580",339
"56",1547950,"BEECH CREEK AT MONUMENT, PA","SW0_1520_1600",152
"57",1548005,"BALD EAGLE CREEK NEAR BEECH CREEK STATION, PA","SW3_1580_1440",562
"58",1548500,"PINE CREEK AT CEDAR RUN, PA","SW4_1110_1150",604
"59",1549700,"PINE CREEK BL L PINE CREEK NEAR WATERVILLE, PA","SW5_1350_1470",944
"60",1550000,"LYCOMING CREEK NEAR TROUT RUN, PA","SW3_1220_1320",173
"61",1551500,"WB SUSQUEHANNA RIVER AT WILLIAMSPORT, PA","SW7_1320_1300",5682
"62",1552000,"LOYALSOCK CREEK AT LOYALSOCKVILLE, PA","SW4_1260_1300",435
"63",1552500,"MUNCY CREEK NEAR SONESTOWN, PA","SW2_1190_1410",23.8
"64",1553500,"WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA","SW7_1640_1680",6847
"65",1553700,"CHILLISQUAQUE CREEK AT WASHINGTONVILLE, PA","SW1_1510_1680",51.3
"66",1554000,"SUSQUEHANNA RIVER AT SUNBURY, PA","SL8_1760_1780",18300
"67",1554500,"SHAMOKIN CREEK NEAR SHAMOKIN, PA","SL1_1700_1780",54.2
"68",1555000,"PENNS CREEK AT PENNS CREEK, PA","SL3_1740_1840",301
"69",1555500,"EAST MAHANTANGO CREEK NEAR DALMATIA, PA","SL2_1810_2030",162
"70",1556000,"FRANKSTOWN BR JUNIATA RIVER AT WILLIAMSBURG, PA","SJ3_2230_2060",291
"71",1558000,"LITTLE JUNIATA RIVER AT SPRUCE CREEK, PA","SJ3_1980_2060",220
"72",1559000,"JUNIATA RIVER AT HUNTINGDON, PA","SJ4_2010_2210",816
"73",1560000,"DUNNING CREEK AT BELDEN, PA","SJ2_2820_2740",172
"74",1562000,"RAYSTOWN BRANCH JUNIATA RIVER AT SAXTON, PA","SJ4_2360_2340",756
"75",1563200,"RAYS BR JUNIATA R BLW RAYS DAM NR HUNTINGDON, PA.","SJ4_2360_2340",960
"76",1563500,"JUNIATA RIVER AT MAPLETON DEPOT, PA","SJ5_2320_2120",2030
"77",1564500,"AUGHWICK CREEK NEAR THREE SPRINGS, PA","SJ2_2580_2500",205
"78",1567000,"JUNIATA RIVER AT NEWPORT, PA","SJ2_2150_2130",3354
"79",1568000,"SHERMAN CREEK AT SHERMANS DALE, PA","SL3_2290_2260",207
"80",1570000,"CONODOGUINET CREEK NEAR HOGESTOWN, PA","SL4_2330_2270",470
"81",1570500,"SUSQUEHANNA RIVER AT HARRISBURG, PA","SL9_2270_2380",24100
"82",1571500,"YELLOW BREECHES CREEK NEAR CAMP HILL, PA","SL3_2440_2380",213
"83",1572025,"SWATARA CREEK NEAR PINE GROVE, PA","SL2_1990_2070",116
"84",1572190,"SWATARA CREEK NEAR INWOOD, PA","SL2_1990_2070",167
"85",1573000,"SWATARA CREEK AT HARPER TAVERN, PA","SL4_2090_2100",337
"86",1573160,"QUITTAPAHILLA CREEK NEAR BELLEGROVE, PA","SL0_2220_2140",74.2
"87",1573560,"SWATARA CREEK NEAR HERSHEY, PA","SL4_2240_2310",483
"88",1574000,"WEST CONEWAGO CREEK NEAR MANCHESTER, PA","SL3_2460_2430",510
"89",1574500,"CODORUS CREEK AT SPRING GROVE, PA","SL1_2760_2730",75.5
"90",1575000,"SOUTH BRANCH CODORUS CREEK NEAR YORK, PA","SL1_2770_2730",117
"91",1575500,"CODORUS CREEK NEAR YORK, PA","SL3_2550_2490",222
"92",1576000,"SUSQUEHANNA RIVER AT MARIETTA, PA","SL9_2490_2520",25990
"93",1576500,"CONESTOGA RIVER AT LANCASTER, PA","SL3_2470_2420",324
"94",1576754,"CONESTOGA RIVER AT CONESTOGA, PA","SL3_2420_2700",470
"95",1578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD","SL9_2971_0000",27100
"96",1580000,"DEER CREEK AT ROCKS, MD","SL2_3060_0001",94.4
"97",1581700,"WINTERS RUN NEAR BENSON, MD","WU1_3331_3330",34.8
"98",1582500,"GUNPOWDER FALLS AT GLENCOE, MD","WU2_3320_3480",160
"99",1583500,"WESTERN RUN AT WESTERN RUN, MD","WU1_3490_3480",59.8
"100",1589000,"PATAPSCO RIVER AT HOLLOFIELD, MD","WM3_4060_0001",285
"101",1589300,"GWYNNS FALLS AT VILLA NOVA, MD","WM1_3910_0001",32.5
"102",1591000,"PATUXENT RIVER NEAR UNITY, MD","XU2_4070_4330",34.8
"103",1591610,"PATUXENT RIVER BELOW BRIGHTON DAM NEAR BRIGHTON,MD","XU2_4330_4480",78.6
"104",1592500,"PATUXENT R NR LAUREL, MD","XU2_4330_4480",132
"105",1594000,"LITTLE PATUXENT RIVER AT SAVAGE, MD","XU2_4270_4650",98.4
"106",1594440,"PATUXENT RIVER NEAR BOWIE, MD","XU3_4650_0001",348
"107",1594670,"HUNTING CREEK NEAR HUNTINGTOWN, MD","XL0_5320_0001",9.38
"108",1595000,"NORTH BRANCH POTOMAC RIVER AT STEYER, MD","PU2_4720_4750",73.1
"109",1595200,"STONY RIVER NEAR MOUNT STORM,WV","PU1_4760_4450",48.7
"110",1596500,"SAVAGE RIVER NEAR BARTON, MD","PU1_3850_4190",49.1
"111",1597500,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD","PU1_4300_4440",106
"112",1598500,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD","PU4_4440_3970",406
"113",1601500,"WILLS CREEK NEAR CUMBERLAND, MD","PU3_3680_3890",247
"114",1603000,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD","PU4_3990_3780",877
"115",1604500,"PATTERSON CREEK NEAR HEADSVILLE, WV","PU2_4160_3930",221
"116",1605500,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV","PU0_5620_5380",179
"117",1606500,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV","PU4_5050_4310",651
"118",1607500,"SO FK SO BR POTOMAC R AT BRANDYWINE, WV","PU2_5190_4310",103
"119",1608000,"SO FK SOUTH BRANCH POTOMAC R NR MOOREFIELD, WV","PU2_5190_4310",277
"120",1608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV","PU4_4210_4170",1461
"121",1610000,"POTOMAC RIVER AT PAW PAW, WV","PU6_3870_3690",3129
"122",1611500,"CACAPON RIVER NEAR GREAT CACAPON, WV","PU3_3860_3610",675
"123",1613000,"POTOMAC RIVER AT HANCOCK, MD","PU6_3530_3440",4064
"124",1614500,"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD","PU3_3290_3390",494
"125",1615000,"OPEQUON CREEK NEAR BERRYVILLE, VA","PU2_4730_4220",58.2
"126",1616500,"OPEQUON CREEK NEAR MARTINSBURG, WV","PU2_3900_3750",273
"127",1618000,"POTOMAC RIVER AT SHEPHERDSTOWN, WV","PU6_4080_4180",5953
"128",1619500,"ANTIETAM CREEK NEAR SHARPSBURG, MD","PU2_4050_4180",281
"129",1622000,"NORTH RIVER NEAR BURKETOWN, VA","PS3_6161_6280",376
"130",1625000,"MIDDLE RIVER NEAR GROTTOES, VA","PS3_6460_6230",373
"131",1626000,"SOUTH RIVER NEAR WAYNESBORO, VA","PS2_6730_6660",127
"132",1626850,"SOUTH RIVER NEAR DOOMS, VA","PS2_6490_6420",148
"133",1627500,"SOUTH RIVER AT HARRISTON, VA","PS2_6420_6360",212
"134",1628500,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA","PS4_5840_5240",1079
"135",1629500,"S F SHENANDOAH RIVER NEAR LURAY, VA","PS5_5240_5200",1372
"136",1631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA","PS5_5200_4380",1634
"137",1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA","PS2_5560_5100",210
"138",1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA","PS3_5100_5080",508
"139",1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA","PS3_5100_5080",770
"140",1634500,"CEDAR CREEK NEAR WINCHESTER, VA","PS1_4830_5080",102
"141",1636500,"SHENANDOAH RIVER AT MILLVILLE, WV","PS5_4370_4150",3041
"142",1637500,"CATOCTIN CREEK NEAR MIDDLETOWN, MD","PM1_3510_4000",66.9
"143",1638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA","PM1_4430_4200",89.5
"144",1638500,"POTOMAC RIVER AT POINT OF ROCKS, MD","PM7_4200_4410",9651
"145",1639000,"MONOCACY RIVER AT BRIDGEPORT, MD","PM3_3040_3340",173
"146",1639500,"BIG PIPE CREEK AT BRUCEVILLE, MD","PM1_3120_3400",102
"147",1643000,"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD","PM4_4040_4410",817
"148",1643700,"GOOSE CREEK NEAR MIDDLEBURG, VA","PM3_4670_4660",122
"149",1644000,"GOOSE CREEK NEAR LEESBURG, VA","PM3_4660_4620",332
"150",1645000,"SENECA CREEK AT DAWSONVILLE, MD","PM1_4250_4500",101
"151",1646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA","PM7_4820_0001",11560
"152",1646502,"POTOMAC RIVER (ADJUSTED) NEAR WASH, DC","PM7_4820_0001",11560
"153",1648000,"ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC","PL1_4460_4780",62.2
"154",1649500,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD","PL1_4540_0001",72.8
"155",1651000,"NW BRANCH ANACOSTIA RIVER NEAR HYATTSVILLE, MD","PL0_4510_0001",49.4
"156",1653000,"CAMERON RUN AT ALEXANDRIA, VA","PL0_5090_0000",33.9
"157",1653600,"PISCATAWAY CREEK AT PISCATAWAY, MD","PL1_5060_0000",39.5
"158",1654000,"ACCOTINK CREEK NEAR ANNANDALE, VA","PL0_5010_5130",23.9
"159",1656000,"CEDAR RUN NEAR CATLETT, VA","PL2_5470_5360",93.4
"160",1658500,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA","PL0_5490_0001",7.62
"161",1660400,"AQUIA CREEK NEAR GARRISONVILLE, VA","PL1_5690_0001",35
"162",1660920,"ZEKIAH SWAMP RUN NEAR NEWTOWN, MD","PL2_5300_5630",79.9
"163",1661050,"ST CLEMENT CREEK NEAR CLEMENTS, MD","PL0_5750_0001",18.5
"164",1661500,"ST MARYS RIVER AT GREAT MILLS, MD","PL0_5981_0000",24
"165",1663500,"HAZEL RIVER AT RIXEYVILLE, VA","RU3_5610_5640",285
"166",1664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA","RU4_5640_6030",619
"167",1665500,"RAPIDAN RIVER NEAR RUCKERSVILLE, VA","RU2_6220_6170",115
"168",1666500,"ROBINSON RIVER NEAR LOCUST DALE, VA","RU2_6200_6170",179
"169",1667500,"RAPIDAN RIVER NEAR CULPEPER, VA","RU4_6040_6030",468
