FID,FID_P5CALI,AREA_,PERIMETER,ALLSITES_,ALLSITES_I,STAID,NAME,POLYGONID,SCALE,ANGLE,FID_P5RIVE,MAJOR,MINOR,UNIQID,DSID,FLOW,CATCODE2,TIDALWATER,TTB03,TSB03,MAJMIN
0,1,0,0,1,1,01485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD",0,1,1,140,E,L,5430,1,1,EL1_5430_0001,N,"MD, East Shore, Lower","MD, East Shore, Lower",EL
1,2,0,0,2,2,01487000,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",0,1,1,93,E,L,4562,1,0,EL0_4562_0001,N,"DE, Nanticoke & Broad Creek","DE, Nanticoke & Broad Creek",EL
2,3,0,0,3,3,01488500,"MARSHYHOPE CREEK NEAR ADAMSVILLE, DE",0,1,1,90,E,L,4400,4590,2,EL2_4400_4590,N,"DE, Marshyhope Creek","DE, Marshyhope Creek",EL
3,4,0,0,4,4,01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",0,1,1,192,E,M,3980,1,2,EM2_3980_0001,N,"MD, Choptank River","MD, Choptank River",EM
4,5,0,0,5,5,01493000,"UNICORN BRANCH NEAR MILLINGTON, MD",0,1,1,300,E,U,3830,1,0,EU0_3830_0001,N,"MD, East Shore, Upper","MD, East Shore, Upper",EU
5,6,0,0,6,6,01495000,"BIG ELK CREEK AT ELK MILLS, MD",0,1,1,239,E,U,2650,1,1,EU1_2650_0001,N,"MD, East Shore, Upper","MD, East Shore, Upper",EU
6,7,0,0,7,7,01496500,OAKS CREEK AT INDEX NY,0,1,1,1065,S,U,20,140,2,SU2_0020_0140,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
7,8,0,0,8,8,01500000,OULEOUT CREEK AT EAST SIDNEY NY,0,1,1,1097,S,U,320,340,2,SU2_0320_0340,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
8,9,0,0,9,9,01500500,SUSQUEHANNA RIVER AT UNADILLA NY,0,1,1,1099,S,U,340,310,5,SU5_0340_0310,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
9,10,0,0,10,10,01502000,BUTTERNUT CREEK AT MORRIS NY,0,1,1,1071,S,U,80,210,1,SU1_0080_0210,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
10,11,0,0,11,11,01502500,UNADILLA RIVER AT ROCKDALE NY,0,1,1,1095,S,U,300,310,4,SU4_0300_0310,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
11,12,0,0,12,12,01503000,SUSQUEHANNA RIVER AT CONKLIN NY,0,1,1,1120,S,U,520,500,6,SU6_0520_0500,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
12,13,0,0,13,13,01505000,CHENANGO RIVER AT SHERBURNE NY,0,1,1,1072,S,U,90,170,3,SU3_0090_0170,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
13,14,0,0,14,14,01509000,TIOUGHNIOGA RIVER AT CORTLAND NY,0,1,1,1075,S,U,120,260,2,SU2_0120_0260,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
14,15,0,0,15,15,01510000,OTSELIC RIVER AT CINCINNATUS NY,0,1,1,1074,S,U,110,240,2,SU2_0110_0240,N,"NY, North Susquehanna","NY, North Susquehanna and Chemung",SU
