"","badsegs3.gageno","badsegs3.gageda","badsegs3.V10","badsegs3.newerror","badsegs3.upstsegs2"
"4",1653000,33.9,34.79949951,-2.65339088495575,"PL0_5000_0001"
"8",1643000,817,815.784575048,0.148766823990185,"PM1_3710_4040 PM1_3120_3400 PM2_2860_3040 PM1_3450_3400 PM2_3400_3340 PM3_3040_3340 PM4_3340_3341 PM4_3341_4040"
"9",1633000,508,508.9660034,-0.190158149606295,"PS2_5550_5560 PS2_5560_5100"
"10",1668500,45.6,44.58789825,2.21952138157895,"RL1_6180_0001"
"11",1668500,45.6,44.58789825,2.21952138157895,"RL1_6180_0001"
"12",1668000,1595,1597.50301341,-0.156928740438871,"RU2_5220_5640 RU2_5940_6200 RU2_5500_5610 RU2_5810_5610 RU2_6090_6220 RU3_5610_5640 RU4_5640_6030 RU2_6200_6170 RU2_6220_6170 RU3_6170_6040 RU4_6040_6030 RU5_6030_0001"
"13",1668000,1595,1597.50301341,-0.156928740438871,"RU2_5220_5640 RU2_5940_6200 RU2_5500_5610 RU2_5810_5610 RU2_6090_6220 RU3_5610_5640 RU4_5640_6030 RU2_6200_6170 RU2_6220_6170 RU3_6170_6040 RU4_6040_6030 RU5_6030_0001"
