"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0.118,Inf
"Med. 1 Day Min",2.2,1.04,-52.7
"Min. 3 Day Min",-1.49e-14,0.119,-7.99e+14
"Med. 3 Day Min",2.23,1.19,-46.6
"Min. 7 Day Min",2.53e-15,0.132,5.22e+15
"Med. 7 Day Min",2.41,1.43,-40.7
"Min. 30 Day Min",0.0693,0.29,318
"Med. 30 Day Min",3.59,3.32,-7.52
"Min. 90 Day Min",1,2.53,153
"Med. 90 Day Min",9.38,9.13,-2.67
"7Q10",0.000000273,0.346,127000000
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",7.62802739726027,7.31219647342513,-4.14
"Mean Baseflow",14,11.5,-17.9
