"","Num","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","WA_mgd_30"
"1",1,"West Creek (Deep Creek, Appommattox)","JA1_7600_7570",0.325,0,1.08,1.086,0.978,0.102,0,0,0,0.066
"2",2,"Bush River","JA1_7640_7280",0.061,0,2.539,2.015,1.813,0.726,0,0,0,0.469
"3",3,"0","JA1_7641_7640",0,0,0,0,0,0,0,0,0,0
"4",4,"Flat Creek","JA2_7410_7470",0,0,0.969,0.97,0.873,0.097,0,0,0,0.063
"5",5,"Appomatox River above Farmville VA","JA2_7550_7280",1.314,0,4.7,6.671,6.004,-1.304,0,0,0,-0.843
"6",6,"West Creek (Deep Creek, Appomattox)","JA2_7570_7480",0.325,0.004,1.387,1.387,1.248,0.138,0,0,0,0.089
"7",7,"Appomatox River","JA4_7280_7340",1.636,0.97,12.999,26.101,23.491,-10.492,0,0,0,-6.782
"8",8,"Appomatox River","JA4_7340_7470",1.636,1.167,13.433,14.303,12.873,0.56,0,0,0,0.362
"9",9,"Appomatox River","JA4_7470_7480",1.7,1.167,14.912,15.699,14.129,0.783,0,0,0,0.506
"10",10,"George F. Brasfield Dam","JA5_7480_0001",35.789,1.171,18.408,18.901,17.011,1.398,6250.413,0,6250.413,209.251
