"","#","Propname","Riverseg","Cumulative Withdrawal (mgd)","Cumulative Point Source (mgd)","Lowest 30-Day Demand Flow (mgd)","Lowest 30-Day Base Flow (mgd)","Min. Instream Flow (mgd)","Available Flow (mgd)","Local Storage (mg)","Upstream Storage (mg)","Total Storage (mg)","Water Availability (mgd)"
"1",1,"T. Nelson Elliott Dam","PL0_5141_5140",11.903,0,1.182,0.436,0.392,0.79,3840.689,0,3840.689,128.813
"2",2,"Cedar Run at Elk Run Road","PL1_5370_5470",1.142,0,0.795,0.467,0.42,0.375,0,0,0,0.375
"3",3,"Broad Run at Confluence with Cedar Run","PL2_5140_5360",13.012,0,2.154,0.796,0.716,1.438,0,3840.689,3840.689,129.461
"4",4,"Cedar Run above Confluence with Broad Run","PL2_5470_5360",1.142,0.937,2.684,1.019,0.917,1.767,0,0,0,1.767
"5",5,"Cedar Run above Occoquan Reservoir","PL3_5360_5250",14.154,0.937,6.265,2.53,2.277,3.988,0,3840.689,3840.689,132.011
