"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"Little River","YP1_6570_6680",1.005,0,0.509,1.047,0.943,-0.43,3.82,4.056,3.65,0.17,0,0,0,0,0,0,-0.434,0.171
"2",2,"Little River","YP1_6680_6670",1.005,0.251,0.75,1.163,1.047,-0.3,4.704,4.696,4.226,0.48,0,0,0,0,0,0,-0.297,0.478
"3",3,"North Anna Dam","YP2_6390_6330",0.022,0,12.928,4.335,3.902,9.03,12.928,13.233,11.909,1.02,89557.51,0,89557.51,89557.51,0,89557.51,2994.277,996.102
"4",4,"North Anna River @ Hart Corner","YP3_6330_6700",0.022,0,16.157,6.081,5.472,10.69,20.08,18.427,16.584,3.5,0,89557.51,89557.51,0,89557.51,89557.51,2995.936,998.579
"5",5,"North Anna River @ Confluence with South Anna","YP3_6670_6720",9.038,3.609,14.421,7.47,6.723,7.7,22.777,24.455,22.01,0.77,0,89583.329,89583.329,0,89583.342,89583.342,2993.809,996.137
"6",6,"Mill Creek @ Meadows Pond","YP3_6672_6670",0.553,0,0.052,0.094,0.085,-0.03,0.245,0.308,0.277,-0.03,25.819,0,25.819,25.832,0,25.832,0.828,0.254
"7",7,"North Anna River above Little River near Doswell","YP3_6700_6670",7.48,0,7.781,6.142,5.528,2.25,11.932,18.927,17.034,-5.1,0,89557.51,89557.51,0,89557.51,89557.51,2987.504,989.981
