"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"West Creek (Deep Creek, Appommattox)","JA1_7600_7570",0.325,0,0.698,0.702,0.632,0.07,4.791,3.424,3.082,1.71,0,0,0,0,0,0,0.066,1.709
"2",2,"Bush River","JA1_7640_7280",0.061,0,1.641,1.302,1.172,0.47,5.337,3.889,3.5,1.84,0,0,0,0,0,0,0.469,1.837
"3",3,"0","JA1_7641_7640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"Flat Creek","JA2_7410_7470",0,0,0.627,0.627,0.564,0.06,3.987,3.02,2.718,1.27,0,0,0,0,0,0,0.063,1.27
"5",5,"Appomatox River above Farmville VA","JA2_7550_7280",1.314,0,3.038,4.312,3.881,-0.84,12.127,11.196,10.076,2.05,0,0,0,0,0,0,-0.843,2.051
"6",6,"West Creek (Deep Creek, Appomattox)","JA2_7570_7480",0.325,0.004,0.896,0.896,0.807,0.09,6.072,4.434,3.991,2.08,0,0,0,0,0,0,0.089,2.081
"7",7,"Appomatox River","JA4_7280_7340",1.636,0.97,8.403,9.184,8.265,0.14,27.181,24.355,21.919,5.26,0,0,0,0,0,0,0.137,5.262
"8",8,"Appomatox River","JA4_7340_7470",1.636,1.167,8.683,9.246,8.321,0.36,27.742,24.698,22.228,5.51,0,0,0,0,0,0,0.362,5.513
"9",9,"Appomatox River","JA4_7470_7480",1.7,1.167,9.639,10.148,9.133,0.51,32.816,28.958,26.062,6.75,0,0,0,0,0,0,0.506,6.754
"10",10,"George F. Brasfield Dam","JA5_7480_0001",35.789,1.171,11.899,12.218,10.996,0.9,34.94,36.925,33.233,1.71,6250.413,0,6250.413,6250.413,0,6250.413,209.251,71.157
