"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"T. Nelson Elliott Dam","PL0_5141_5140",11.903,0,1.182,0.436,0.392,0.79,3.716,3.271,2.944,0.77,3243.021,0,3243.021,2384.126,0,2384.126,108.891,36.806
"2",2,"Cedar Run at Elk Run Road","PL1_5370_5470",1.142,0,0.795,0.467,0.42,0.37,4.423,4.645,4.181,0.24,0,0,0,0,0,0,0.375,0.242
"3",3,"Broad Run at Confluence with Cedar Run","PL2_5140_5360",13.012,0,2.154,0.796,0.716,1.44,6.749,7.897,7.107,-0.36,0,3243.021,3243.021,0,2384.126,2384.126,109.539,35.676
"4",4,"Cedar Run above Confluence with Broad Run","PL2_5470_5360",1.142,0.937,2.684,1.019,0.917,1.77,9.06,7.725,6.952,2.11,0,0,0,0,0,0,1.767,2.107
"5",5,"Cedar Run above Occoquan Reservoir","PL3_5360_5250",14.154,0.937,6.265,2.53,2.277,3.99,18.542,18.096,16.286,2.26,0,3243.021,3243.021,0,2384.126,2384.126,112.088,38.289
