"","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL30mg_apx_total","SminL30mg_nex_total","SminL90mg_apx_total","SminL90mg_nex_total","WA_mgd_30_apx","WA_mgd_30_nex","WA_mgd_90_apx","WA_mgd_90_nex"
"1","Crooked Run","PS5_4381_4380",0.11,0,0.1,0,0,0.103,0.7,0.8,0.7,0.011,0.899,0.915,1.504,1.504,0.032,0.032,0.463,0.47
"2","Mill Creek @ Meadows Pond","YP3_6672_6670",0.55,0,0.1,0.1,0.1,-0.051,0.4,0.5,0.4,-0.051,43.651,43.651,43.664,43.664,1.54,1.54,0.762,0.763
"3","Sugar Hollow","JL2_6445_6440",3.09,0,0,0.4,0.4,-0.399,0,1.4,1.2,-1.248,28.315,28.315,28.318,28.497,1.202,1.202,1.121,1.123
"4","Little Back Creek","JU2_6602_6600",0,0,2,1.5,1.4,0.649,2,1.5,1.4,0.65,32.584,32.584,32.584,32.584,1.959,1.959,1.235,1.235
"5","Yarmouth Creek @ Cranstons Mill Pond","JB0_7055_7054",0.07,0,0,0,0,-0.003,0,0.1,0.1,-0.047,168.888,168.888,168.888,168.888,5.632,5.632,1.923,1.923
"6","Yarmouth Creek bt Cranston Mill and Little Creek","JB0_7054_7050",0.07,-0.01,0,0,0,-0.003,0,0.1,0.1,-0.073,168.888,168.888,168.888,168.888,5.632,5.632,1.924,1.924
"7","Harris Creek","JL6_7441_7440",0.95,0,4.2,2.7,2.4,1.723,9.1,4.4,4,5.159,186.985,193.035,199.647,199.647,7.813,8.015,4.644,4.785
"8","Beaver Creek - VAHydro 1.0","JL1_6562_6560",0.52,0,0.3,0.3,0.3,0.034,0.7,1.1,1,-0.287,478.37,485.384,478.37,478.37,16.146,16.38,5.96,5.96
"9","Lake Pelham: Mountain Run","RU4_5642_5640",1.56,0,0,0,0,0,0.9,0,0,0.93,575.943,575.943,570.513,570.513,19.198,19.198,6.4,6.339
"10","Ivy Creek","JL2_6442_6441",0,0,1.1,1.1,1,0.109,3.1,3.7,3.3,-0.242,520.169,520.169,520.169,520.169,17.976,17.976,7.939,7.939
"11","Buck Mountain Creek","JL2_6447_6440",0,0,1.3,1.3,1.1,0.127,3.1,3.8,3.5,-0.315,520.169,520.169,520.169,520.169,18.077,18.077,8.017,8.017
"12","Chickahominy River @ Confluence w/James, tidal","JB0_7050_0000",15.45,5.86,9.8,1.7,1.5,8.36,39.6,34.9,31.4,8.249,168.888,168.888,168.888,168.888,6.591,6.591,22.169,22.169
"13","Mechums River","JL1_6560_6440",0.05,0,3.2,3.6,3.2,-0.017,12.5,13.7,12.3,0.176,478.37,485.384,478.37,478.37,18.017,18.25,13.262,13.262
"14","White Run Reservoir","RU2_6091_6090",0,0,0.1,0,0,0.031,0.2,0.1,0.1,0.055,884.542,894.287,891.172,897.668,29.512,29.837,9.901,10.046
"15","Po river","YM2_6120_6430",3.89,0.34,5.9,0,0,5.919,13.9,0,0,13.898,914.646,1358.931,1188.973,1188.973,30.488,45.298,10.163,13.211
"16","Ni River Reservoir","YM2_6122_6120",3.7,0,0.8,0,0,0.773,0.8,0,0,0.773,914.646,1358.931,1188.973,1188.973,30.489,45.298,10.163,13.211
"17","Moormans River","JL2_6440_6441",0,0,1.9,2,1.8,0.11,4.6,6,5.4,-0.731,1059.438,1066.452,1059.441,1059.62,36.46,36.694,15.247,15.249
"18","Rapidan River","RU2_6090_6220",0.7,0,9.4,6,5.4,3.999,21.3,15.9,14.3,6.986,884.542,894.287,891.172,897.668,32.989,33.314,19.093,19.239
"19","Motts Run","RU5_6032_6030",2.98,0,0,0.1,0.1,-0.106,0,0.4,0.4,-0.362,1253.517,1253.517,1019.851,1131.502,41.852,41.852,14.162,12.806
"20","Rapidan River","RU2_6220_6170",1.81,0.04,17.5,8.7,7.8,9.72,36.7,26,23.4,13.359,884.542,894.287,891.172,897.668,34.527,34.852,24.927,25.072
"21","Ragged Mountain","JL4_6521_6520",0.17,0,0,0.1,0,-0.05,0,0.2,0.2,-0.153,1570.62,1574.606,1495.477,1552.104,52.386,52.519,17.55,17.345
"22","Rapidan River near Culpepper","RU3_6170_6040",2.39,1.07,39.2,15.8,14.2,24.984,78.5,46,41.4,37.085,884.542,894.287,891.172,897.668,38.655,38.98,36.594,36.74
"23","Rappahannock River","RU4_5640_6030",0.31,1.91,48.1,31.2,28.1,19.956,97.4,62.1,55.9,41.578,575.943,575.943,570.513,570.513,37.365,37.365,42.512,42.452
"24","Mattaponi River","YM3_6430_6620",4.09,0.41,11,0,0,10.968,33.3,0,0,33.292,1826.995,2271.28,2101.322,2101.322,60.9,75.709,20.3,23.348
"25","Mattaponi River @ Fall Line","YM4_6620_0001",4.49,0.44,16.2,0,0,16.163,54,0,0,53.968,1826.995,2271.28,2101.322,2101.322,60.9,75.709,20.3,23.348
"26","Chickahominy River","JB3_7053_0001",5.5,0.06,0,0.5,0.4,-0.406,26.4,29.6,26.6,-0.226,1726.988,1726.988,1726.988,1726.988,57.829,57.829,36.399,36.399
"27","Ware River @ Mobjack Bay","YL0_7010_0000",0,0.63,3.4,0,0,3.365,8.3,0,0,8.345,2151.574,2151.574,2166.27,2166.27,71.719,71.719,23.906,24.07
