"","Num","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_90"
"1",1,"West Creek (Deep Creek, Appommattox)","JA1_7600_7570",0.325,0,7.412,5.297,4.767,2.644,0,0,0,1.709
"2",2,"Bush River","JA1_7640_7280",0.061,0,8.256,6.016,5.414,2.842,0,0,0,1.837
"3",3,"0","JA1_7641_7640",0,0,0,0,0,0,0,0,0,0
"4",4,"Flat Creek","JA2_7410_7470",0,0,6.168,4.671,4.204,1.964,0,0,0,1.27
"5",5,"Appomatox River above Farmville VA","JA2_7550_7280",1.314,0,18.761,17.32,15.588,3.173,0,0,0,2.051
"6",6,"West Creek (Deep Creek, Appomattox)","JA2_7570_7480",0.325,0.004,9.394,6.86,6.174,3.22,0,0,0,2.081
"7",7,"Appomatox River","JA4_7280_7340",1.636,0.97,42.049,86.053,77.447,-35.399,0,0,0,-22.882
"8",8,"Appomatox River","JA4_7340_7470",1.636,1.167,42.916,38.207,34.387,8.529,0,0,0,5.513
"9",9,"Appomatox River","JA4_7470_7480",1.7,1.167,50.767,44.798,40.318,10.449,0,0,0,6.754
"10",10,"George F. Brasfield Dam","JA5_7480_0001",35.789,1.171,54.053,57.124,51.411,2.642,6250.413,0,6250.413,71.157
