"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"Savage River","PU1_3850_4190",0,0,1.476,0.833,0.75,0.73,3.419,3.104,2.793,0.63,0,0,0,0,0,0,0.726,0.625
"2",2,"Georges Creek","PU1_3940_3970",0,0,1.467,0.779,0.701,0.77,3.405,2.525,2.272,1.13,0,0,0,0,0,0,0.765,1.133
"3",3,"Savage River Dam","PU1_4190_4300",0,0,4.629,2.142,1.928,2.7,19.128,6.615,5.953,13.17,2505.743,0,2505.743,1209.261,0,1209.261,86.226,41.016
"4",4,"Savage River","PU1_4300_4440",0,0,5.166,2.55,2.295,2.87,20.824,7.496,6.747,14.08,0,2505.743,2505.743,0,1209.261,1209.261,86.395,41.919
"5",5,"Stony River","PU1_4760_4451",0,0,2.599,2.592,2.332,0.27,6.89,6.892,6.202,0.69,0,0,0,0,0,0,0.266,0.688
"6",6,"Mt. Storm Power Station Dam/Stony River Dam","PU1_4840_4760",0,0,2.403,2.397,2.157,0.25,6.321,6.322,5.69,0.63,0,0,0,0,0,0,0.246,0.631
"7",7,"Potomac River North Branch","PU2_4720_4750",0,0,4.188,4.179,3.761,0.43,11.532,11.533,10.379,1.15,0,0,0,0,0,0,0.427,1.153
"8",8,"Potomac River North Branch","PU2_4750_4451",0,0,4.736,4.726,4.253,0.48,13.089,13.09,11.781,1.31,0,0,0,0,0,0,0.482,1.308
"9",9,"North Branch Potomac below Bloomington/Jennings Randolph","PU3_4450_4440",0,0,25.459,11.78,10.602,14.86,69.381,28.856,25.97,43.41,0,25855.269,25855.269,0,25855.269,25855.269,876.7,330.691
"10",10,"Bloomington/Jennings Randolph","PU3_4451_4450",0,0,24.531,10.99,9.891,14.64,65.728,27.784,25.006,40.72,25855.269,0,25855.269,25855.269,0,25855.269,876.483,328.003
"11",11,"Potomac River North Branch","PU4_3970_3890",0,0,44.259,22.619,20.358,23.9,114.184,50.858,45.772,68.41,0,28361.012,28361.012,0,27064.53,27064.53,969.268,383.534
"12",12,"Potomac River North Branch","PU4_4440_3970",0,0,34.779,16.319,14.687,20.09,100.809,37.611,33.85,66.96,0,28361.012,28361.012,0,27064.53,27064.53,965.458,382.082
