"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1",1,"Back Creek","JU1_6290_6590",0,0,0.056,0.056,0.05,0.01,1.637,1.63,1.467,0.17,0,0,0,0,0,0,0.006,0.17
"2",2,"Back Creek - Bath County Lower Dam","JU1_6590_6600",0.009,0,4.848,1.092,0.983,3.87,5.994,2.857,2.572,3.42,8669.26,11472.962,20142.222,8669.26,11461.163,20130.423,675.273,227.225
"3",3,"Bath County Pump Store - Upper","JU1_6591_6590",0,0,1.293,0.97,0.873,0.42,1.293,0.97,0.873,0.42,11472.962,0,11472.962,11461.163,0,11461.163,382.852,127.898
"4",4,"Back Creek","JU2_6600_6810",0.009,0.009,6.342,2.184,1.965,4.38,8.196,4.311,3.88,4.32,0,20174.806,20174.806,0,20163.007,20163.007,676.87,228.481
"5",5,"Little Back Creek","JU2_6602_6600",0,0,1.292,0.97,0.873,0.42,1.293,0.97,0.873,0.42,32.584,0,32.584,32.584,0,32.584,1.506,0.782
"6",6,"Back Creek","JU2_6810_6900",0.009,0.009,6.36,2.213,1.992,4.37,8.324,4.431,3.988,4.34,0,20174.806,20174.806,0,20163.007,20163.007,676.861,228.5
"7",7,"Dunlap Creek","JU2_7140_7330",0,0,1.137,1.002,0.902,0.24,8.404,7.682,6.914,1.49,0,0,0,0,0,0,0.235,1.49
"8",8,"Potts Creek","JU2_7360_7000",2.332,2.332,1.228,0.978,0.88,0.35,11.915,10.785,9.706,2.21,0,0,0,0,0,0,0.348,2.209
"9",9,"Potts Creek","JU2_7450_7360",2.332,2.332,1.146,0.902,0.811,0.33,11.429,10.297,9.267,2.16,0,0,0,0,0,0,0.334,2.162
"10",10,"Jackson River","JU3_6380_6900",3.578,0,0.45,0.863,0.777,-0.33,2.68,4.264,3.837,-1.16,0,0,0,0,0,0,-0.326,-1.157
"11",11,"Gathright Dam","JU3_6900_6950",3.568,3.626,51.713,4.068,3.661,48.05,53.518,10.386,9.347,44.17,23477.612,20174.806,43652.418,23477.612,20163.007,43640.619,1503.133,529.198
"12",12,"Jackson River","JU3_6950_7330",45.033,3.645,34.763,5.411,4.87,29.89,48.664,15.831,14.248,34.42,0,43652.418,43652.418,0,43640.619,43640.619,1484.974,519.444
"13",13,"0","JU3_6951_6950",0,0,0,0.059,0.053,-0.05,0,0.579,0.521,-0.52,0,0,0,0,0,0,-0.054,-0.521
"14",14,"James River","JU4_7000_7300",48.853,43.267,108.494,17.853,16.067,92.43,133.562,47.929,43.136,90.43,0,43652.418,43652.418,0,43640.619,43640.619,1547.508,575.453
"15",15,"Jackson River","JU4_7330_7000",45.033,40.935,94.447,10.528,9.476,84.97,108.54,28.307,25.476,83.06,0,43652.418,43652.418,0,43640.619,43640.619,1540.052,568.09
