"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l90_Qout_mgd","l90_Qout_base_mgd","l90_Qout_mif_mgd","Qavailable_90_mgd","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_90"
"1",1,"West Creek (Deep Creek, Appommattox)","JA1_7600_7570",0.325,0,4.791,3.424,3.082,1.709,0,0,0,1.709
"2",2,"Bush River","JA1_7640_7280",0.061,0,5.337,3.889,3.5,1.837,0,0,0,1.837
"3",3,"0","JA1_7641_7640",0,0,0,0,0,0,0,0,0,0
"4",4,"Flat Creek","JA2_7410_7470",0,0,3.987,3.02,2.718,1.27,0,0,0,1.27
"5",5,"Appomatox River above Farmville VA","JA2_7550_7280",1.314,0,12.127,11.196,10.076,2.051,0,0,0,2.051
"6",6,"West Creek (Deep Creek, Appomattox)","JA2_7570_7480",0.325,0.004,6.072,4.434,3.991,2.081,0,0,0,2.081
"7",7,"Appomatox River","JA4_7280_7340",1.636,0.97,27.181,24.355,21.919,5.262,0,0,0,5.262
"8",8,"Appomatox River","JA4_7340_7470",1.636,1.167,27.742,24.698,22.228,5.513,0,0,0,5.513
"9",9,"Appomatox River","JA4_7470_7480",1.7,1.167,32.816,28.958,26.062,6.754,0,0,0,6.754
"10",10,"George F. Brasfield Dam","JA5_7480_0001",35.789,1.171,34.94,36.925,33.233,1.708,6250.413,0,6250.413,71.157
