"","Model"
"Jan. Low Flow",49.4
"Feb. Low Flow",58
"Mar. Low Flow",88.1
"Apr. Low Flow",159
"May Low Flow",196
"Jun. Low Flow",201
"Jul. Low Flow",147
"Aug. Low Flow",114
"Sep. Low Flow",97
"Oct. Low Flow",62.5
"Nov. Low Flow",52.1
"Dec. Low Flow",44.7
