"","Model"
"Overall Mean Flow",789
"Jan. Mean Flow",1090
"Feb. Mean Flow",1340
"Mar. Mean Flow",1650
"Apr. Mean Flow",1160
"May Mean Flow",671
"Jun. Mean Flow",384
"Jul. Mean Flow",262
"Aug. Mean Flow",435
"Sep. Mean Flow",810
"Oct. Mean Flow",382
"Nov. Mean Flow",590
"Dec. Mean Flow",740
