"","Model"
"Min. 1 Day Min",0.887
"Med. 1 Day Min",24
"Min. 3 Day Min",1.14
"Med. 3 Day Min",25.6
"Min. 7 Day Min",1.64
"Med. 7 Day Min",31.3
"Min. 30 Day Min",7.34
"Med. 30 Day Min",53.2
"Min. 90 Day Min",36.2
"Med. 90 Day Min",145
"7Q10",6.54
"Year of 90-Day Low Flow",2002
"Drought Year Mean",229.78538848488
"Mean Baseflow",340
