"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",3090,1040,1220,1230,1270,1500,1680,1560,1930,1350,1140,1050,959,3570,4070,4860,4610,3450,2790,2030,1880,2680,2010,2510,2740,350,918,393,945,406,972,458,1060,522,1400,605,2002,489,781,1860,8880,23100,782,1640,2170,6200,4320,9350,10400,13400,11500,5830,4470,3300,2860,2670,78700,31500,63200,26600,37000,18500,18300,7600,10600,5320,851.778082191781
"Model",3090,611,720,1370,1880,2580,2790,1730,1290,1090,736,686,654,3860,4710,5630,4680,3200,2610,1610,1400,2430,1980,2350,2760,108,387,110,404,113,422,144,614,271,845,169,2002,177,395,1830,9530,20900,412,1820,1350,3510,4360,8680,6430,13200,11800,5270,3560,1980,1430,1220,74300,35100,61700,23000,36500,16600,16200,8070,12000,5730,717.663532774364
"Pct. Error",0,41.2,41,-11.4,-48,-72,-66.1,-10.9,33.2,19.3,35.4,34.7,31.8,-8.12,-15.7,-15.8,-1.52,7.25,6.45,20.7,25.5,9.33,1.49,6.37,-0.73,69.1,57.8,72,57.2,72.2,56.6,68.6,42.1,48.1,39.6,72.1,0,63.8,49.4,1.61,-7.32,9.52,47.3,-11,37.8,43.4,-0.926,7.17,38.2,1.49,-2.61,9.61,20.4,40,50,54.3,5.59,-11.4,2.37,13.5,1.35,10.3,11.5,-6.18,-13.2,-7.71,15.7
