"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",54,22.4,-58.5
"Med. 1 Day Min",75.5,45.3,-40
"Min. 3 Day Min",69.4,36.9,-46.8
"Med. 3 Day Min",161,66.2,-58.9
"Min. 7 Day Min",82.5,60.1,-27.2
"Med. 7 Day Min",216,109,-49.5
"Min. 30 Day Min",94.9,68.4,-27.9
"Med. 30 Day Min",252,126,-50
"Min. 90 Day Min",110,82.9,-24.6
"Med. 90 Day Min",287,166,-42.2
"7Q10",127,74.9,-41
"Year of 90-Day Low Flow",2002,1985,100
"Drought Year Mean",187.309863013699,182.171555300453,-2.74
"Mean Baseflow",179,144,-19.6
