"","Date","agency_cd","site_no","Flow","Flow_cd","mod.flow"
"1",1984-01-01,"USGS","02028500",226,"A",276.51003849
"2",1984-01-02,"USGS","02028500",209,"A",181.59646703
"3",1984-01-03,"USGS","02028500",202,"A",172.56593465
"4",1984-01-04,"USGS","02028500",192,"A",166.02529812
"5",1984-01-05,"USGS","02028500",180,"A",159.2323699
"6",1984-01-06,"USGS","02028500",175,"A",159.37345315
"7",1984-01-07,"USGS","02028500",175,"A",156.08005141
"8",1984-01-08,"USGS","02028500",164,"A",146.6431365
"9",1984-01-09,"USGS","02028500",158,"A",139.62986567
"10",1984-01-10,"USGS","02028500",179,"A",136.26645707
"11",1984-01-11,"USGS","02028500",229,"A",136.8908987
"12",1984-01-12,"USGS","02028500",187,"A",128.86265135
"13",1984-01-13,"USGS","02028500",187,"A",121.56786061
"14",1984-01-14,"USGS","02028500",199,"A",118.62633848
"15",1984-01-15,"USGS","02028500",168,"A",113.69867612
"16",1984-01-16,"USGS","02028500",160,"A",107.89297198
"17",1984-01-17,"USGS","02028500",158,"A",104.31773186
"18",1984-01-18,"USGS","02028500",162,"A",112.34864236
"19",1984-01-19,"USGS","02028500",148,"A",107.50107908
"20",1984-01-20,"USGS","02028500",124,"A",97.77520085
"21",1984-01-21,"USGS","02028500",110,"A",93.19134855
"22",1984-01-22,"USGS","02028500",90,"A",89.19735123
"23",1984-01-23,"USGS","02028500",138,"A",85.40041542
"24",1984-01-24,"USGS","02028500",152,"A",82.3455391
"25",1984-01-25,"USGS","02028500",197,"A",92.01519035
"26",1984-01-26,"USGS","02028500",180,"A",108.8960419
"27",1984-01-27,"USGS","02028500",175,"A",113.49597888
"28",1984-01-28,"USGS","02028500",160,"A",115.53675747
"29",1984-01-29,"USGS","02028500",145,"A",107.00891399
"30",1984-01-30,"USGS","02028500",138,"A",101.39251855
"31",1984-01-31,"USGS","02028500",130,"A",97.67426729
"32",1984-02-01,"USGS","02028500",125,"A",94.13791276
"33",1984-02-02,"USGS","02028500",120,"A",90.75699593
"34",1984-02-03,"USGS","02028500",140,"A",94.37065647
"35",1984-02-04,"USGS","02028500",195,"A",102.58172489
"36",1984-02-05,"USGS","02028500",175,"A",127.32112932
"37",1984-02-06,"USGS","02028500",160,"A",103.76625632
"38",1984-02-07,"USGS","02028500",150,"A",94.11678124
"39",1984-02-08,"USGS","02028500",140,"A",88.47652411
"40",1984-02-09,"USGS","02028500",140,"A",84.02252673
"41",1984-02-10,"USGS","02028500",132,"A",84.94568657
"42",1984-02-11,"USGS","02028500",132,"A",108.04084873
"43",1984-02-12,"USGS","02028500",130,"A",112.50137855
"44",1984-02-13,"USGS","02028500",139,"A",113.34404757
"45",1984-02-14,"USGS","02028500",1960,"A",397.04377958
"46",1984-02-15,"USGS","02028500",1030,"A",507.5747348
"47",1984-02-16,"USGS","02028500",690,"A",431.1494016
"48",1984-02-17,"USGS","02028500",532,"A",334.8220914
"49",1984-02-18,"USGS","02028500",444,"A",282.2793264
"50",1984-02-19,"USGS","02028500",380,"A",252.4441634
"51",1984-02-20,"USGS","02028500",335,"A",233.87446401
"52",1984-02-21,"USGS","02028500",296,"A",220.41263102
"53",1984-02-22,"USGS","02028500",263,"A",209.8159685
"54",1984-02-23,"USGS","02028500",498,"A",201.0304079
"55",1984-02-24,"USGS","02028500",694,"A",894.14131569
"56",1984-02-25,"USGS","02028500",600,"A",826.0706121
"57",1984-02-26,"USGS","02028500",456,"A",521.8150844
"58",1984-02-27,"USGS","02028500",402,"A",374.9233543
"59",1984-02-28,"USGS","02028500",425,"A",317.3307267
"60",1984-02-29,"USGS","02028500",372,"A",304.9199398
"61",1984-03-01,"USGS","02028500",330,"A",289.3361838
"62",1984-03-02,"USGS","02028500",304,"A",269.8576787
"63",1984-03-03,"USGS","02028500",276,"A",256.6776245
